CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-07-0042-46,01-639,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO EN COMPUTACION ROTTERDAM,31 AVENIDA 14-12 CIUDAD PLATA II,24738493.0,LUDVIN RICARDO URRUTIA LORENTI,MARÍA DEL CARMEN LÓPEZ BENAVENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0054-46,01-619,CIUDAD CAPITAL,ZONA 7,COLEGIO TÉCNICO EN COMPUTACIÓN SAN JUAN,9A CALLE 8-63 Y 8-67 COLONIA QUINTA SAMAYOA,24754329.0,JUAN WALDEMAR CABRERA MENDEZ,AURA MARINA MEJIA FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0072-46,01-619,CIUDAD CAPITAL,ZONA 7,"INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS ""SAN JUAN""","31 AVENIDA 5-30 ZONA 7 JARDINES DE TIKAL 1 GUATEMALA, GUATEMALA",24740582.0,JUAN WALDEMAR CABRERA MENDEZ,ORFANIA ALVAREZ PERDOMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0076-46,01-409,CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNOLOGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN,31 AV. 35-30 COLONIA TIKAL 1,24740582.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,ORFANIA ALVAREZ PERDOMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0077-46,01-409,CIUDAD CAPITAL,ZONA 7,"INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS ""SAN JUAN""",31 AENIDA. 5-30 JARDINES DE TIKAL I,24740582.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,ORFANIA ALVAREZ PERDOMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0080-46,01-409,CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNOLOGICO EN ELECTRONICA Y DIBUJO,CALZADA SAN JUAN 31-47 ZONA 7,24392574.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,OSCAR ALFREDO HERRERA JUAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0087-46,01-409,CIUDAD CAPITAL,ZONA 7,COLEGIO EN COMPUTACION SAN JUAN,CALZADA SAN JUAN 39-45 COLONIA EL RODEO,24314037.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,DORA GRACIELA VIELMAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0092-46,01-619,CIUDAD CAPITAL,ZONA 7,LICEO DE COMPUTACION C.S.S.,CALZADA SAN JUAN 38-83,24314311.0,JUAN WALDEMAR CABRERA MENDEZ,SANDRA PATRICIA RAXÓN MAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0093-46,01-409,CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNOLOGICO EN ELECTRONICA Y DIBUJO,CALZADA SAN JUAN 31-47,24392574.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,OSCAR ALFREDO HERRERA JUAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0095-46,01-617,CIUDAD CAPITAL,ZONA 7,"COLEGIO ""SUBLIME GRACIA""",8A. CALLE 28-96 KAMINAL JUYU I,56074104.0,MARIA DEL ROSARIO VARGAS SANDOVAL,ZOILA ARGENTINA CONDE OSORIO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0100-46,01-619,CIUDAD CAPITAL,ZONA 7,LICEO ADVENTISTA EL PROGRESO,2DA. CALLE 35-44 COLONIA TOLEDO,24386829.0,JUAN WALDEMAR CABRERA MENDEZ,CLAUDIA ASTRID DAVILA GUTIERREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0108-46,01-623,CIUDAD CAPITAL,ZONA 7,"CENTRO EDUCATIVO PRIVADO ""MONTE HOREB""",4TA. CALLE 12-27 COLONIA QUINTA SAMAYOA,30345988.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,EMMA LUCRECIA PÉREZ CHAMALÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0110-46,01-623,CIUDAD CAPITAL,ZONA 7,"CENTRO EDUCATIVO PRIVADO ""MONTE HOREB""",4TA. CALLE 12-27 COLONIA QUINTA SAMAYOA GUATEMALA,30345988.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,EMMA LUCRECIA PÉREZ CHAMALÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0111-46,01-617,CIUDAD CAPITAL,ZONA 7,LICEO FLORENTINO-GUATEMALTECO,"5TA. AVENIDA 5-38 COLONIA LANDÍVAR GUATEMALA, GUATEMALA",47134006.0,MARIA DEL ROSARIO VARGAS SANDOVAL,LISBETH ICENIA RAMIREZ VARGAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0114-46,01-409,CIUDAD CAPITAL,ZONA 7,COLEGIO TÉCNICO EN COMPUTACIÓN SAN JUAN,9A. CALLE 8-63 Y 8-67 COLONIA QUINTA SAMAYOA,24754329.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,AURA MARINA MEJIA FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0116-46,01-409,CIUDAD CAPITAL,ZONA 7,COLEGIO TÉCNICO EN COMPUTACIÓN SAN JUAN,9A. CALLE 8-63 Y 8-67 COLONIA QUINTA SAMAYOA,24754329.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,AURA MARINA MEJIA FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0117-46,01-619,CIUDAD CAPITAL,ZONA 7,"LICEO MIXTO ""OBED""",4TA. CALLE 8-26 COLONIA QUINTA SAMAYOA GUATEMALA ZONA 7,48853901.0,JUAN WALDEMAR CABRERA MENDEZ,SERGIA JOSEFINA SALAY ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0122-46,01-617,CIUDAD CAPITAL,ZONA 7,COLEGIO CAB GUATEMALA,"23 AVENIDA 5-06 ZONA 7 KAMINAL JUYU I GUATEMALA, GUATEMALA",22125551.0,MARIA DEL ROSARIO VARGAS SANDOVAL,JUANA FRANCISCA ESTRADA LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0129-46,01-619,CIUDAD CAPITAL,ZONA 7,"INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS ""SAN JUAN""",31 AVENIDA 5-30 ZONA 7 JARDINES DE TIKAL I GUATEMALA,24740582.0,JUAN WALDEMAR CABRERA MENDEZ,ORFANIA ALVAREZ PERDOMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0141-46,01-639,CIUDAD CAPITAL,ZONA 7,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX,7A. AVENIDA 6-32 COLONIA LANDIVAR ZONA 7,24721051.0,LUDVIN RICARDO URRUTIA LORENTI,ROXANA ARELY VILLATORO HIGUEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0151-46,01-623,CIUDAD CAPITAL,ZONA 7,"CENTRO EDUCATIVO PRIVADO MIXTO ""MONTE HOREB""",4A. CALLE 12-27 ZONA 7 COLONIA QUINTA SAMAYOA,30345988.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,EMMA LUCRECIA PÉREZ CHAMALÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0156-46,01-639,CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNICO DE CAPACITACIÓN Y PRODUCTIVIDAD- INTECAP-,14 CALLE 31-30 ZONA 7,23200000.0,LUDVIN RICARDO URRUTIA LORENTI,CARLOS REMBERTO MONROY MORÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0167-46,01-617,CIUDAD CAPITAL,ZONA 7,CENTRO INTEGRAL EDUCATIVO LA SABIDURÍA-CIES-,"13 AVENIDA 3-76 ZONA 7, COLONIA QUINTA SAMAYOA",40905637.0,MARIA DEL ROSARIO VARGAS SANDOVAL,CARLOS HUMBERTO GONZALEZ AGUIRRE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0172-46,01-623,CIUDAD CAPITAL,ZONA 7,LICEO CRISTIANO VERDAD L.C.V.,13 AVENIDA 04-03 COLONIA QUINTA SAMAYOA ZONA 7,24404750.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,MARTA AZUCENA PAZ QUIÑONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0176-46,01-619,CIUDAD CAPITAL,ZONA 7,COLEGIO AMERICANO HOWARD GARDNER,"2A. CALLE 32-88 ZONA 7, COLONIA TOLEDO, CALZADA DOROTEO GUAMUCH",24397569.0,JUAN WALDEMAR CABRERA MENDEZ,EDNA MARINA CASTAÑAZA DE CERRATE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0177-46,01-602,CIUDAD CAPITAL,ZONA 7,ESCUELA DE CIENCIAS COMERCIALES Y BACHILLERATO EN MERCADOTECNIA ANEXOS,"AVENIDA MOCTEZUMA 31-02, ZONA 7, COLONIA BETHANIA GUATEMALA",50166164.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,ANA PATRICIA LÓPEZ LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0185-46,01-409,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO OBED,4A. CALLE 8-26 COLONIA QUINTA SAMAYOA ZONA 7,48853901.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,SERGIA JOSEFINA SALAY ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0186-46,01-409,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO OBED,4A. CALLE 8-26 COLONIA QUINTA SAMAYOA ZONA 7 GUATEMALA ZONA 7,48853901.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,SERGIA JOSEFINA SALAY ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0187-46,01-623,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO PRIVADO MONTE HOREB,4 CALLE 12-27 COLONIA QUINTA SAMAYOA ZONA 7,30345988.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,EMMA LUCRECIA PÉREZ CHAMALÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0188-46,01-623,CIUDAD CAPITAL,ZONA 7,LICEO CRISTIANO VERDAD L.C.V.,"13 AVENIDA 04-03 ZONA 7, COLONIA QUINTA SAMAYOA",48467509.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,MARTA AZUCENA PAZ QUIÑONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE
00-07-0191-46,01-623,CIUDAD CAPITAL,ZONA 7,LICEO CRISTIANO VERDAD L.C.V.,"13 AVENDA 04-03 ZONA 7, COLONIA QUINTA SAMAYOA",48467509.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,MARTA AZUCENA PAZ QUIÑONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0198-46,01-617,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO BILINGÜE DIDÁCTICO,13 CALLE 30-70 COLONIA CIUDAD DE PLATA I ZONA 7 GUATEMALA,22279917.0,MARIA DEL ROSARIO VARGAS SANDOVAL,YESICA SUCELY ARREAGA MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0200-46,01-639,CIUDAD CAPITAL,ZONA 7,"COLEGIO BILINGÜE CRISTIANO ""EL ÁRBOL DEL CONOCIMIENTO""","32 AV. ""D"" 45-25, COLONIA GRANIZO II, ZONA 7",42035921.0,LUDVIN RICARDO URRUTIA LORENTI,XENI SARAHÍ PAZ MONTEZUMA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00-07-0201-46,01-639,CIUDAD CAPITAL,ZONA 7,COLEGIO BILINGÜE CRISTIANO EL ÁRBOL DEL CONOCIMIENTO,"32 AV. ""D"" 45-25, LOS GRANIZOS II, ZONA 7",42035921.0,LUDVIN RICARDO URRUTIA LORENTI,XENI SARAHÍ PAZ MONTEZUMA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00-07-0205-46,01-639,CIUDAD CAPITAL,ZONA 7,CENTRO DE EDUCACIÓN EXTRAESCOLAR ASOCIACIÓN CREAMOS,6A. AVENIDA 11-95 ZONA 7 COLONIA LANDÍVAR,54601270.0,LUDVIN RICARDO URRUTIA LORENTI,CARMEN ROSSANA BOCHE NORIEGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00-07-0207-46,01-639,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO EN COMPUTACIÓN ROTTERDAM,"31 AVENIDA14-12 ZONA 7, CIUDAD DE PLATA II",24738493.0,LUDVIN RICARDO URRUTIA LORENTI,MARÍA DEL CARMEN LÓPEZ BENAVENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),GUATEMALA OCCIDENTE
00-07-0210-46,01-639,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO EN COMPUTACIÓN ROTTERDAM,"31 AVENIDA14-12 ZONA 7, CIUDAD DE PLATA II",24738493.0,LUDVIN RICARDO URRUTIA LORENTI,MARÍA DEL CARMEN LÓPEZ BENAVENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),GUATEMALA OCCIDENTE
00-07-0214-46,01-617,CIUDAD CAPITAL,ZONA 7,LICEO DE CIENCIA Y TECNOLOGÍA,"CALZADA SAN JUAN 37-78 ZONA 7, COLONIA EL RODEO",24321644.0,MARIA DEL ROSARIO VARGAS SANDOVAL,VILMA ISABEL OROZCO LÓPEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0216-46,01-603,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO LOS SAUCES,"31 AVENIDA 14-26 ZONA 7, COLONIA CIUDAD DE PLATA II",24738983.0,ROSA ALBELIA ARDON DE MOTTA,AGUSTÍN SENCIÓN ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0217-46,01-602,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO OBED,4TA. 8-26 ZONA 7 COLONIA QUINTA SAMAYOA,48853901.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,SERGIA JOSEFINA SALAY ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0220-46,01-409,CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNOLÓGICO EN ELECTRÓNICA Y DIBUJO,CALZADA SAN JUAN 31-47 ZONA 7,24392574.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,OSCAR ALFREDO HERRERA JUAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0222-46,01-602,CIUDAD CAPITAL,ZONA 7,COLEGIO DE INFORMÁTICA IMB-PC NO. 1,"CALZADA SAN JUAN Y 32 AVENIDA 31-97,31-99 Y 4-04 ZONA 7 GUATEMALA",23025400.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,CARLOS ALFREDO DE LEÓN ALB,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),GUATEMALA OCCIDENTE
00-07-0224-46,01-623,CIUDAD CAPITAL,ZONA 7,LICEO CRISTIANO VERDAD L.C.V.,13 AVENIDA 04-03 COLONIA QUINTA SAMAYOA ZONA 7,48467509.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,MARTA AZUCENA PAZ QUIÑONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0225-46,01-623,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO PRIVADO MONTE HOREB,4A. CALLE 12-27 COLONIA QUINTA SAMAYOA ZONA 7,30345988.0,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,EMMA LUCRECIA PÉREZ CHAMALÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0228-46,01-409,CIUDAD CAPITAL,ZONA 7,"INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS ""SAN JUAN""","31 AVENIDA 5-30 ZONA 7, JARDINES DE TIKAL I GUATEMALA",24740582.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,ORFANIA ALVAREZ PERDOMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0230-46,01-409,CIUDAD CAPITAL,ZONA 7,INSTITUTO PRIVADO MIXTO SAN JUAN,CALZADA SAN JUAN 31-47 ZONA 7,24316649.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,JUAN WALDEMAR CABRERA MENDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0232-46,01-409,CIUDAD CAPITAL,ZONA 7,COLEGIO TÉCNICO EN COMPUTACIÓN SAN JUAN,9A. CALLE 8-63 Y 8-67 ZONA 7 COLONIA QUINTA SAMAYOA,24754329.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,AURA MARINA MEJIA FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0233-46,01-602,CIUDAD CAPITAL,ZONA 7,"LICEO MIXTO TÉCNICO EN COMPUTACIÓN SENDA 2,000",CALZADA SAN JUAN 12-73 ZONA 7 GUATEMALA,24401029.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,BENEDICTO HERNÁNDEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0237-46,01-409,CIUDAD CAPITAL,ZONA 7,COLEGIO PANAMERICANO NO. 4,37 AVENIDA 3-88 ZONA 7,41326504.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,SONIA LETICIA MACHUCA RODRÍGUEZ DE PARDUCCI,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0242-46,01-639,CIUDAD CAPITAL,ZONA 7,"CENTRO DE EDUCACIÓN INTEGRAL ""ELYON""","38 CALLE ""E"" 34-10, COLONIA AMPARO 1, ZONA 7",46810615.0,LUDVIN RICARDO URRUTIA LORENTI,SILVIA MARLENI ALVARADO GUARDADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00-07-0243-46,01-639,CIUDAD CAPITAL,ZONA 7,"CENTRO DE EDUCACIÓN INTEGRAL ""ELYON""","38 CALLE ""E"" 34-10, COLONIA AMPARO 1, ZONA 7",46810615.0,LUDVIN RICARDO URRUTIA LORENTI,SILVIA MARLENI ALVARADO GUARDADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),GUATEMALA OCCIDENTE
00-07-0245-46,01-619,CIUDAD CAPITAL,ZONA 7,LICEO DE COMPUTACION C.S.S,CALZADA SAN JUAN 38-83 ZONA 7 COLONIA EL RODEO,24314311.0,JUAN WALDEMAR CABRERA MENDEZ,SANDRA PATRICIA RAXÓN MAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
00-07-0247-46,01-602,CIUDAD CAPITAL,ZONA 7,LICEO DE COMPUTACIÓN C.S.S. ZONA 7,CALZADA SAN JUAN 38-83 COLONIA EL RODEO ZONA 7,24314311.0,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,SANDRA PATRICIA RAXÓN MAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0249-46,01-639,CIUDAD CAPITAL,ZONA 7,LICEO DE FORMACIÓN PROFESIONAL,"35 AVENIDA 25-02, COLONIA LAS MARGARITAS ZONA 7",42424190.0,LUDVIN RICARDO URRUTIA LORENTI,EDITH NOHEMY PAZ CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),GUATEMALA OCCIDENTE
00-07-0252-46,01-639,CIUDAD CAPITAL,ZONA 7,COLEGIO EL PATRIARCA SAN JOSÉ,"38 CALLE E 34-25 COLONIA EL AMPARO 1, ZONA 7 GUATEMALA",59087046.0,LUDVIN RICARDO URRUTIA LORENTI,JOSÉ DAVID GARCÍA GARMA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00-07-0253-46,01-639,CIUDAD CAPITAL,ZONA 7,COLEGIO EL PATRIARCA SAN JOSÉ,"38 CALLE E 34-25, COLONIA EL AMPARO 1, ZONA 7 GUATEMALA",59087046.0,LUDVIN RICARDO URRUTIA LORENTI,JOSÉ DAVID GARCÍA GARMA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),GUATEMALA OCCIDENTE
00-07-0256-46,01-639,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO EN COMPUTACIÓN ROTTERDAM,"31AVENIDA 14-12, COLONIA CIUDAD DE PLATA II, ZONA 7",24738493.0,LUDVIN RICARDO URRUTIA LORENTI,MARÍA DEL CARMEN LÓPEZ BENAVENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00-07-0259-46,01-639,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO INNOVA,"14 CALLE 33-32, COLONIA EL RODEO ZONA 7",22340487.0,LUDVIN RICARDO URRUTIA LORENTI,LUCIA ALEJANDRA CRUZ CASTELLANOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,GUATEMALA OCCIDENTE
00-07-0262-46,01-639,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO INNOVA,"14 CALLE 33-32, COLONIA EL RODEO ZONA 7",22340487.0,LUDVIN RICARDO URRUTIA LORENTI,LUCIA ALEJANDRA CRUZ CASTELLANOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),GUATEMALA OCCIDENTE
